Al,a,i,k,t 
682,1,1,1,1 
0,2,1,1,1 
0,3,1,1,1 
1942,4,1,1,1 
0,5,1,1,1 
0,6,1,1,1 
0,7,1,1,1 
0,8,1,1,1 
0,9,1,1,1 
0,10,1,1,1 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,2 
0,2,1,1,2 
0,3,1,1,2 
2332,4,1,1,2 
0,5,1,1,2 
0,6,1,1,2 
0,7,1,1,2 
0,8,1,1,2 
0,9,1,1,2 
0,10,1,1,2 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,3 
0,2,1,1,3 
0,3,1,1,3 
2041,4,1,1,3 
0,5,1,1,3 
0,6,1,1,3 
0,7,1,1,3 
0,8,1,1,3 
0,9,1,1,3 
0,10,1,1,3 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,4 
0,2,1,1,4 
0,3,1,1,4 
1749,4,1,1,4 
0,5,1,1,4 
0,6,1,1,4 
