Tr,a,i,j,k,t,e 
0,1,1,1,1,1,1 
0,1,1,1,1,1,2 
0,1,1,1,1,1,3 
0,1,1,1,1,1,4 
0,1,1,1,1,1,5 
0,1,1,1,1,1,6 
0,1,1,1,1,1,7 
0,1,1,1,1,1,8 
0,1,1,1,1,1,9 
1092,1,1,1,1,1,10 
0,1,1,1,1,1,11 
0,1,1,1,1,1,12 
0,1,1,1,1,1,13 
0,1,1,1,1,1,14 
0,1,1,1,1,1,15 
0,2,1,1,1,1,1 
0,2,1,1,1,1,2 
0,2,1,1,1,1,3 
0,2,1,1,1,1,4 
0,2,1,1,1,1,5 
0,2,1,1,1,1,6 
0,2,1,1,1,1,7 
101510,2,1,1,1,1,8 
0,2,1,1,1,1,9 
0,2,1,1,1,1,10 
0,2,1,1,1,1,11 
0,2,1,1,1,1,12 
0,2,1,1,1,1,13 
0,2,1,1,1,1,14 
0,2,1,1,1,1,15 
0,3,1,1,1,1,1 
0,3,1,1,1,1,2 
0,3,1,1,1,1,3 
0,3,1,1,1,1,4 
0,3,1,1,1,1,5 
0,3,1,1,1,1,6 
0,3,1,1,1,1,7 
7784,3,1,1,1,1,8 
0,3,1,1,1,1,9 
39285,3,1,1,1,1,10 
0,3,1,1,1,1,11 
0,3,1,1,1,1,12 
0,3,1,1,1,1,13 
0,3,1,1,1,1,14 
0,3,1,1,1,1,15 
0,4,1,1,1,1,1 
0,4,1,1,1,1,2 
0,4,1,1,1,1,3 
0,4,1,1,1,1,4 
0,4,1,1,1,1,5 
0,4,1,1,1,1,6 
0,4,1,1,1,1,7 
0,4,1,1,1,1,8 
0,4,1,1,1,1,9 
14604,4,1,1,1,1,10 
0,4,1,1,1,1,11 
8162,4,1,1,1,1,12 
0,4,1,1,1,1,13 
0,4,1,1,1,1,14 
0,4,1,1,1,1,15 
0,5,1,1,1,1,1 
0,5,1,1,1,1,2 
0,5,1,1,1,1,3 
0,5,1,1,1,1,4 
0,5,1,1,1,1,5 
0,5,1,1,1,1,6 
0,5,1,1,1,1,7 
0,5,1,1,1,1,8 
0,5,1,1,1,1,9 
14462,5,1,1,1,1,10 
0,5,1,1,1,1,11 
0,5,1,1,1,1,12 
0,5,1,1,1,1,13 
0,5,1,1,1,1,14 
0,5,1,1,1,1,15 
0,6,1,1,1,1,1 
0,6,1,1,1,1,2 
0,6,1,1,1,1,3 
0,6,1,1,1,1,4 
0,6,1,1,1,1,5 
0,6,1,1,1,1,6 
0,6,1,1,1,1,7 
41083,6,1,1,1,1,8 
0,6,1,1,1,1,9 
0,6,1,1,1,1,10 
0,6,1,1,1,1,11 
0,6,1,1,1,1,12 
0,6,1,1,1,1,13 
0,6,1,1,1,1,14 
0,6,1,1,1,1,15 
0,7,1,1,1,1,1 
0,7,1,1,1,1,2 
0,7,1,1,1,1,3 
0,7,1,1,1,1,4 
0,7,1,1,1,1,5 
0,7,1,1,1,1,6 
0,7,1,1,1,1,7 
0,7,1,1,1,1,8 
0,7,1,1,1,1,9 
0,7,1,1,1,1,10 
0,7,1,1,1,1,11 
16120,7,1,1,1,1,12 
0,7,1,1,1,1,13 
0,7,1,1,1,1,14 
0,7,1,1,1,1,15 
0,8,1,1,1,1,1 
0,8,1,1,1,1,2 
0,8,1,1,1,1,3 
0,8,1,1,1,1,4 
0,8,1,1,1,1,5 
0,8,1,1,1,1,6 
0,8,1,1,1,1,7 
0,8,1,1,1,1,8 
0,8,1,1,1,1,9 
0,8,1,1,1,1,10 
0,8,1,1,1,1,11 
11191,8,1,1,1,1,12 
0,8,1,1,1,1,13 
0,8,1,1,1,1,14 
0,8,1,1,1,1,15 
0,9,1,1,1,1,1 
0,9,1,1,1,1,2 
0,9,1,1,1,1,3 
0,9,1,1,1,1,4 
0,9,1,1,1,1,5 
0,9,1,1,1,1,6 
0,9,1,1,1,1,7 
0,9,1,1,1,1,8 
0,9,1,1,1,1,9 
0,9,1,1,1,1,10 
0,9,1,1,1,1,11 
11293,9,1,1,1,1,12 
0,9,1,1,1,1,13 
0,9,1,1,1,1,14 
0,9,1,1,1,1,15 
